city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Elkton,Elkton,MD,Maryland,24015,Cecil,39.6067,-75.8208,15622,678,polygon,FALSE,TRUE,America/New_York,3,21921 21922,1840005635
Parlier,Parlier,CA,California,6019,Fresno,36.6087,-119.5434,15613,2503,polygon,FALSE,TRUE,America/Los_Angeles,2,93648,1840020323
Fate,Fate,TX,Texas,48397,Rockwall,32.9429,-96.3858,15603,508,polygon,FALSE,TRUE,America/Chicago,3,75087 75189 75132,1840020715
Port Washington,Port Washington,NY,New York,36059,Nassau,40.8268,-73.6764,15600,1439,polygon,FALSE,FALSE,America/New_York,3,11050 11051 11054,1840005252
Riverdale,Riverdale,GA,Georgia,13063,Clayton,33.564,-84.4103,15594,1362,polygon,FALSE,TRUE,America/New_York,3,30274 30296 30287 30374,1840014815
East Highland Park,East Highland Park,VA,Virginia,51087,Henrico,37.577,-77.3865,15592,685,polygon,FALSE,FALSE,America/New_York,3,23222 23223,1840006388
Chubbuck,Chubbuck,ID,Idaho,16005,Bannock,42.9261,-112.4624,15588,1020,polygon,FALSE,TRUE,America/Boise,3,83202,1840018667
West University Place,West University Place,TX,Texas,48201,Harris,29.7157,-95.4321,15585,3002,polygon,FALSE,TRUE,America/Chicago,2,77005 77265 77277,1840022205
Newton,Newton,IA,Iowa,19099,Jasper,41.6964,-93.0402,15580,520,polygon,FALSE,TRUE,America/Chicago,3,50208,1840008171
Fullerton,Fullerton,PA,Pennsylvania,42077,Lehigh,40.6308,-75.4834,15578,1637,polygon,FALSE,FALSE,America/New_York,3,18052,1840034977
Miami,Miami,OK,Oklahoma,40115,Ottawa,36.8877,-94.8718,15571,466,polygon,FALSE,TRUE,America/Chicago,3,74354 74355,1840020346
McMinnville,McMinnville,TN,Tennessee,47177,Warren,35.6863,-85.7812,15570,480,polygon,FALSE,TRUE,America/Chicago,3,37110 37111,1840015385
Longwood,Longwood,FL,Florida,12117,Seminole,28.7014,-81.3487,15561,1096,polygon,FALSE,TRUE,America/New_York,3,32750,1840015957
Seven Oaks,Seven Oaks,SC,South Carolina,45063,Lexington,34.0474,-81.1434,15559,787,polygon,FALSE,FALSE,America/New_York,3,29212 29210 29227,1840035850
Overland,Overland,MO,Missouri,29189,St. Louis,38.6966,-90.3689,15551,1368,polygon,FALSE,TRUE,America/Chicago,3,63114 63132,1840009744
Dunn,Dunn,NC,North Carolina,37085,Harnett,35.3113,-78.6129,15550,548,polygon,FALSE,TRUE,America/New_York,3,28334 28335,1840013434
Eggertsville,Eggertsville,NY,New York,36029,Erie,42.9665,-78.8065,15546,2098,polygon,FALSE,FALSE,America/New_York,2,14226,1840024061
Belvedere Park,Belvedere Park,GA,Georgia,13089,DeKalb,33.7488,-84.2598,15543,1225,polygon,FALSE,FALSE,America/New_York,3,30032 30030,1840013699
Houghton,Houghton,MI,Michigan,26061,Houghton,47.1119,-88.5672,15543,683,polygon,FALSE,TRUE,America/Detroit,3,49931,1840003919
Phelan,Phelan,CA,California,6071,San Bernardino,34.4398,-117.5248,15532,99,polygon,FALSE,FALSE,America/Los_Angeles,3,92371,1840025798
Blackfoot,Blackfoot,ID,Idaho,16011,Bingham,43.194,-112.3455,15526,784,polygon,FALSE,TRUE,America/Boise,3,83221,1840018650
Buford,Buford,GA,Georgia,13135,Gwinnett,34.1185,-83.9916,15522,343,polygon,FALSE,TRUE,America/New_York,3,30518 30519 30515,1840013678
Lake Geneva,Lake Geneva,WI,Wisconsin,55127,Walworth,42.5824,-88.4281,15518,456,polygon,FALSE,TRUE,America/Chicago,3,53147,1840002479
Harrison,Harrison,OH,Ohio,39061,Hamilton,39.2582,-84.7868,15518,868,polygon,FALSE,TRUE,America/New_York,3,45030,1840007381
La Grande,La Grande,OR,Oregon,41061,Union,45.3243,-118.0865,15515,1149,polygon,FALSE,TRUE,America/Los_Angeles,3,97850,1840019924
Farmingville,Farmingville,NY,New York,36103,Suffolk,40.8389,-73.0401,15495,1451,polygon,FALSE,FALSE,America/New_York,3,11738,1840005009
Groves,Groves,TX,Texas,48245,Jefferson,29.9457,-93.9164,15480,1155,polygon,FALSE,TRUE,America/Chicago,3,77619,1840020916
Hermitage,Hermitage,PA,Pennsylvania,42085,Mercer,41.2305,-80.4414,15471,202,polygon,FALSE,TRUE,America/New_York,3,16148,1840000732
Indianola,Indianola,IA,Iowa,19181,Warren,41.3629,-93.5652,15471,546,polygon,FALSE,TRUE,America/Chicago,3,50125,1840000648
